식품대분류,대표식품소분류,칼로리평균(kcal),탄수화물평균(g),단백질평균(g),지방평균(g),식품수,칼로리총합(kcal),탄수화물총합(g),단백질총합(g),지방총합(g),아이콘
빵류,기타빵류,369.0,35.9,9.5,10.7,bread
구이류,육류구이,386.8,11.3,31.5,20.9,steak
밥류,김밥(초밥)류,493.1,68.4,18.4,10.5,rice
숙채류,나물.숙채류,50.8,4.3,2.1,2.8,carrot
과/채가공품,과/채가공품,135.4,25.3,1.7,1.7,fruits
